Название проекта,Номер проекта,Статус 1 недели,Комментарий 1 недели,Статус 2 недели,Комментарий 2 недели,Статус 3 недели,Комментарий 3 недели,Статус 4 недели,Комментарий 4 недели
Майские праздники,31,Продвинул,"Посмотрел, какие походы есть у одного туроператора на 1-3 мая.",На стопе,,Круто продвинул,"С Максимом и Жанной запланировали отдых на майские праздники.

Все круто.",Круто продвинул,по идеи закрываем проекта
Английский для работы с преподавателем,37,Продвинул,"Сделал домашнее задание, сходил на одно занятие, ",Круто продвинул,дохрена ДЗ и работы с преподом,Круто продвинул,"Делал домашку.

Нужно будет разделять ее на несколько частей.

И занимался с преподавателем.",Круто продвинул,"делаю домашки, занимаюс всё четко"
Курс как не читать книги,50,,,Круто продвинул,"Два занятия прошло, книгу как учится учится скимлю, очень круто всё идет. Надеюсь научусь применять занния в жизни, обдумывать их",Круто продвинул,Был на двух занятиях. Самостоятельно занимался еще вчера. Понял классный сайт про проблемы в целом по жизни.,Круто продвинул,очень много инсайтов и смены поведения 
проект перестройки ценностей\убеждений - перепрошивка ценностей,26,На стопе,,На стопе,,На стопе,,Круто продвинул,выписал ценности
встречи с друзьями,9,Продвинул,"Сходили с друзьями в бильярд, классно кайфанул. Нужно чаще планировать такие походы самому и созывать всех на сходку. ",Продвинул,"пол часа пообщался с данилом, задонатил ему на группу.",Не трогал,,Круто продвинул,ездели на 3 дня смотреть козаков 
Родинки,20,Продвинул,Записался к онкологу,Продвинул,перенёс запись к окнологу на следующую неделю,Продвинул,"Съездил к врачу. Оказалось, это не тот врач. Написал скрипт для проверки наличия места в записи.
Буду пытаться записаться к правильному врачу",Круто продвинул,"сьездил к врачу, получил направление на удаление"
Застраховать квартиру,15,Не трогал,,На стопе,ставлю на стоп. Не приоритет,Круто продвинул,"Узнал о четырех страховых компаниях.

Создал заметки с рекомендациями и выжимки из постов в интернете с рекомендациями.

Пообщался с одним страховым агентом очень плотно.",На стопе,"как курс сложных вопросво пройду, разберусь"
вычет налоговый,43,Продвинул,Отправил заявку по вычету на ИИС,Продвинул,"зашёл в личный кабинет, а там что-то потребовали 3 ндфл ещё заполнить чтобы убидитяс что я у работодателя вычеты не получал - что за бред",Круто продвинул,"Подал вычеты с ИИС, с покупки квартиры, НЛП. Выяснил, оказывается, что у меня недоуплачен налог.",На стопе,
Практики максима\Рустама\Кати,14,Продвинул,"Был на проекте Рустама, как не читать книги про анализ источника. Очень помогло, внес изменения в новые действия",На стопе,"Откажусь от проекта, я купил курс как не читать книги, потом ещё продолжени будет",На стопе,,На стопе,
Подготовка к беременности,33,На стопе,,На стопе,,На стопе,,На стопе,
Патреон Ильи Климова,40,Продвинул,Посмотрел на практике Рустама одно видео. Внес изменения в новые действия,Продвинул,"смотрел новое видео ильи про оркестратор агентов, ",На стопе,,На стопе,
Подтянуть навыки системного дизайна,44,Продвинул,"Вносил в блокнот сложности, которые возникали при проектировании и реализации фичи курсорной пагенации и фоновых запросов",Круто продвинул,"Я с лидом бека и руководителем проекта - беклог на следующий год планировал, уточнял требования, сужал скоуп, давал оценку",Не трогал,,На стопе,
Открыть вклады из текущих денег!,47,Не трогал,,Круто продвинул,выбрал ооблигации почты россии и накопительный в Яндексе,Не трогал,,На стопе,
"Таблица финансовых потоков, обновить",48,Не трогал,,Продвинул,"пока просто скорировал сколько где сейчас денег, остался план на 1 год ",Не трогал,"Тут честно не знаю, что нужно делать дальше.

Я на прошлой неделе сделал потоки, дальше надо вот уже финплан составлять.",На стопе,
Допройти\перепройти курс медитации,13,Не трогал,"Тут, конечно, по-хорошему надо уже хотя бы одно-два видео в неделю смотреть",Грустно не трогал,"Воообще не трогал, это плохо",Круто продвинул,3 из 7 дней смотрел ролики,Не трогал,Надо на след неделе всё по методу рустама расписывать
бассейн + баня + прогулка,2,Продвинул,"Один раз сходил в бассейн, в баню, потом совершил прогулку",Не трогал,не ходил из-за проблем с родинкой,Не трогал,Не могу ходить в бассейн из-за родинки. Прогулок не было,Не трогал,
Питание – Клетчатка,23,Не трогал,"Тут вообще, блин, один видос на Ютубе, который надо просто посмотреть во время обеда, выписать там список и добавить это в корзину покупок. И все, то есть, но как бы не знаю, забывается. Да и не фокусировался на нем",Круто продвинул,"Вах, тут круто продвинул - распечатал ранжированные таблицы с клетчаткой, создал уголок колетчатки",Не трогал,"Ну, в целом, кушаю то, что стоит на столе.",Не трогал,
Подарки и сюрпризы Ане,30,Не трогал,"Два раза ставил задачу на день себе немножко поковыряться. Просмотрел там, конечно, список возможный, но что-то тяжело выбрать что-то.
Наверное, просто цветочки хотя бы куплю на этой неделе",Продвинул,купил тюльпаны,Не трогал,,Не трогал,
День рождение Ани,32,На стопе,,Не трогал,хотя уже стоит заняться,Продвинул,"Заказал фотоаппарат, приедет 9 мая. Буду смотреть, я рад.",Не трогал,
медитация 30 мин каждый день,5,Продвинул,"Получилось только три или четыре дня из семи медитировать. Не очень доволен, но в целом потребностей как будто бы не испытываю, так как есть зал, зарядка и вроде бы все комфортно. Но это все равно не очень хорошо. Нужно на следующей неделе будет постараться больше сделать. ",Грустно не трогал,"Вообще не медетировал, надо что-то с этим делать. Каждое утро думаю что есть более важные дела",Круто продвинул,Четыре дня из семи я делал медитацию,"Продвину, но хотелось больше",2 из 7
досуг с Аней,27,Продвинул,После выбора костюма мы сходили покушать. Также я встретил её с работы,Продвинул,"сходили вечером на свидание, надо больше ходить",Круто продвинул,"Сходили вместе покушать.

Планировал досуг с ней, выбирал места, куда сходить.

Обсуждение провели. Досуг достаточно насыщенный.","Продвину, но хотелось больше","просто на майских много времени вместе провели, надо вообще то было спецом время вдвоём выделить"
Спорт,1,Продвинул,Сходил два раза в зал на этой неделе,Круто продвинул,Сходил два раза в зал ,Продвинул,Один раз из двух я сходил в зал с Денисом.,"Продвину, но хотелось больше","1 из 2 сходил в зал, из-за обучений больше не мог"
Созвоны с бадди,3,Продвинул,,Круто продвинул,"Был созвон, очень хороший вопросы задал, помог он мне сильно",Круто продвинул,"На прошлом созвоне пообсуждали информацию, ее применение в жизни.",Продвинул,
"Бытовое - Волкова, Королева",19,Продвинул,"Выяснил причину, почему течет ванна. Буду вызывать сантехника",Круто продвинул,Там с папой ани договорился о герметизации ванной и спросил совета про трубы. Дома помогал Ане,Круто продвинул,"С папой Аней заделали швы ванны. Спросил у него про батареи, спросил у него про полотенчики.",Продвинул,"созвонился с сантехником, узналк какие турбы нужны"
Лучше чистить зубы,22,Продвинул,Дольше чищу зубы; сохранил артикул для индикатора налета,Продвинул,"Заказал эригатор, смотрел видео полезные на ютубб",Круто продвинул,"Забрал ирригатор, заказал таблетки, щетку.

Учился пользоваться ирригатором.

Смотрел полезное видео.",Продвинул,"начал использовать щетку монопчковую, узнал у врача где недочищаю"
Ai для личной продуктивности,25,На стопе,,Продвинул,"кристолизовал первую проблему - шум в каналаг телеграмм. Нашёл репозиторий с парсером и AI для телеграм, буду докручивать",Круто продвинул,"Был на созвоне AI Jedi. Там вдохновился.

Самостоятельно написал бота для Телеграма с нужными мне функционалами.

Также имплементировал дайджест телеграм-каналов со скиллом.",Продвинул,Добавил в Agent.md инфу о всех моих проектах
Свадьба,29,Продвинул,Забронировал беседку для второго дня. Заказал костюм жениха. Арендовал квартиры. ,Не трогал,,Круто продвинул,"Тут посмотрел по напиткам, переписывался еще с Жанной.

Ну, в общем, дело движется хорошо.",Продвинул,
поиск второй работы,36,Продвинул,Запустил бота с автооткликами. Одно собеседование на следующую неделю назначено,Круто продвинул,"Был на собесе, получил оффер, но там по ТК, сделал тестовое, кидал отклики, ещё один собес запланировали",Круто продвинул,"Он был на собеседовании в Dodo Pizza. 
Делаю дайджест телеграм-канала с вакансиями.

Откликнулся на три вакансии в телеграме, на четыре вакансии на платформе Хаббл карьеры и нашел еще одну платформу для откликов на вакансии.",Продвинул,откликался на второй платформе + в телеграмме = выхлоп 0
Obsidian - выбрать структуру хранения,24,Продвинул,"Посмотрел 15-минутное видео Рустама, как он работает с AI внутри Obsidian",На стопе,,На стопе,,Продвинул,"пока был на майских подчистил хранилище, сделал некую структуру"
Кататься на велосипеде и Ролики,11,На стопе,,На стопе,,Не трогал,"Тут сложно. Если Денис в будни, то поздно вечером, а если на выходных, то только в субботу, когда у нас зал. А вместе с залом я не хочу",Продвинул,"позвонил в аренду великов, узнал, продолжаем попытки состыковаться с Денисом"
Зубы,18,Не трогал,"Тут что-то особо деньги тратить не хочется уже. Да и неприятно это все, и… не знаю, пока что есть желание забить на коренные, пусть растут как растут. Хотя, может быть, на этих выходных как-нибудь… Пусть сами мне позвонят, и я соглашусь",Продвинул,"Вылечил ещё два, отсались два и коренные",Не трогал,,Продвинул,"полечил два, оказалось бесполезно, откровенно пиздец, денег жако, всё ещё чувсвитльностью в дестне"
Отслеживание финансов - бюджет + внесние расходов + бух учёт,45,Продвинул,Внес расходы за все предыдущие расходы за этот месяц,Продвинул,внёс расходы за месяц ,Не трогал,,Продвинул,"внеёс расхоыд, закрыл месяц"
еженедельное планирование,4,Продвинул,,Не трогал,"вообще неделю я не планирую, планиирую только каждый день с вечера. Думаю отказаться от проекта",Продвинул,Шесть дней из семи записывал планы на следующий день,Продвинул,
Сон,6,Продвинул,"Ну, где-то три дня из семи получалось ложиться вовремя",Продвинул,дней 5 из 7 ложися до 11,Продвинул,дней 4 из 7 ложился вовермя,Продвинул,
Общение и помочь семье,28,Продвинул,"Настраивал госуслуги, скачивал приложение, что-то на зоне заказывал. В общем много всего",Продвинул,"максимучто-0то подсказывал, звонил маме и крёстной",Продвинул,"Помогал маме восстанавливать связь с ее родственниками.

Скинул им список санаториев в Пятигорске и так, по мелочи.",Продвинул,маме там что-то помог оплатить и разблокирвоать
"Отношения с Аней - может торвальд, может те три параметра дневника",34,Не трогал,,Грустно не трогал,как-то не работаю в этом напрвлении,Продвинул,"Обсуждал план проекта с AI, было круто, кстати, очень помогло.

Нужно закрепить эту практику. Поговорил с Аней, спросил, надо оно или нет. Она считает, что нет.

Тоже классный инсайт для меня, запомнили. В общем, будут дальше сам.

А еще подписку на какой-то сервис групповой нашел, очень, кстати, полезный канал. То и буду там, есть гайд по отношениям.",Продвинул,"вчера буквально посорились - много полезного извлёк, буду внедрять эту неделю"
работа АМ тех,35,Продвинул,,Продвинул,,Продвинул,,Продвинул,делаю календарь
